Society_Polity,State_Formation_low,State_Formation_high,formation,Adulthood_Date,Peak_Power,Collapse_low,Collapse_high,collapse,Approx_age,age,Political_Type,Political_Sub_Type,Region,Capital,Source,Proximate_Cause,Underlying_Cause,Collapse_Tra,Notes,Relatationship,Capital_1,lat1,continent,lon1,Capital_2,lat2,lon2,Capital_3,lat3,lon3,violience_attractor,censored
Australia,1920,,1920,,,,2016,2016,96-96 years,96,Nation state,unknown,Australia and New Zealand,,Correlates of War (2020),,,,,,Canberra,-35.26666667,Australia,149.133333,,,,,,,,TRUE
Canada,1920,,1920,,,,2016,2016,96-96 years,96,Nation state,unknown,North America,Ottawa,Correlates of War (2020),,,,,,Ottawa,45.424722,N.America,-75.695,,,,,,,,TRUE
Costa Rica,1920,,1920,,,,2016,2016,96-96 years,96,Nation state,unknown,Central America,,Correlates of War (2020),,,,,,San José,9.933333,N.America,-84.083333,,,,,,,,TRUE
Liberia,1920,,1920,,,,2016,2016,96-96 years,96,Nation state,unknown,Western Africa,,Correlates of War (2020),,,,,,Monrovia,6.3,Africa,-10.8,,,,,,,,TRUE
Nepal,1920,,1920,,,,2016,2016,96-96 years,96,Nation state,unknown,Southern Asia,,Correlates of War (2020),,,,,,Kathmandu,27.71666667,Asia,85.316667,,,,,,,,TRUE
New Zealand,1920,,1920,,,,2016,2016,96-96 years,96,Nation state,unknown,Australia and New Zealand,,Correlates of War (2020),,,,,,Wellington,-41.3,,174.783333,,,,,,,,TRUE
South Africa,1920,,1920,,,,2016,2016,96-96 years,96,Nation state,unknown,Southern Africa,,Correlates of War (2020),,,,,,Pretoria,-25.7,Africa,28.216667,,,,,,,,TRUE
Mongolia,1921,,1921,,,,2016,2016,95-95 years,95,Nation state,unknown,Eastern Asia,,Correlates of War (2020),,,,,,Ulaanbaatar,47.91666667,Asia,106.916667,,,,,,,,TRUE
USSR,1922,1922,1922,,1945,1991,1991,1991,69-69 years,69,Empire,unknown,Eastern Europe,Moscow,"Weeks (2016), note on the Time of Troubles from Monohan (2016), underlying cause of collapse from Weeks (2016).",Dissolution opf the Soviet Union,Failed attempt at economic and political reform launched by Mikhail Gorbachev. Failed coup by anti-Gorbachev reactionaries allowed Boris Yeltsin to declare the USSR defunct.,Transformation from empire into nation-sate.,"Muscovy begins to expand in 1300, but doesn't encompass all of Russia until 1505. Virtual state collapse during the Time of Troubles (1598-1613) resulting from the drain of an unsuccessful war; poor harvests resulting from the 'Little Ice Age'; and dynastic crisis. Ended with the election of Tsar Mikhail Fedorovich (1613), marking the start of the Romanov dynasty. Encyclopedia of Empire has Muscovy, Russian Empire and USSR as seperate entries - could split up this entry.",,Moscow,55.75583333,Europe,37.61722222,,,,,,,,FALSE
Ireland,1922,,1922,,,,2016,2016,94-94 years,94,Nation state,unknown,Western Europe,,Correlates of War (2020),,,,,,Dublin,53.31666667,Europe,-6.233333,,,,,,,,TRUE
Dominican Republic,1924,,1924,,,,2016,2016,92-92 years,92,Nation state,unknown,Caribbean,Santo Domingo,Correlates of War (2020),,,,,,Santo Domingo,18.466667,N.America,-69.95,,,,,,,,TRUE
Yemen Arab Republic,1926,,1926,,,,1990,1990,64-64 years,64,Nation state,unknown,Western Asia,,Correlates of War (2020),,,,,,Sanaa,15.348333,Asia,44.206389,,,,,,,,FALSE
Saudi Arabia,1927,,1927,,,,2016,2016,89-89 years,89,Nation state,unknown,Western Asia,,Correlates of War (2020),,,,,,Riyadh,24.65,Asia,46.7,,,,,,,,TRUE
Iraq,1932,,1932,,,,2016,2016,84-84 years,84,Nation state,unknown,Western Asia,,Correlates of War (2020),,,,,,Baghdad,33.33333333,Asia,44.4,,,,,,,,TRUE
Nazi Germany,1933,,1933,,,1945,,1945,12-12 years,12,Empire,unknown,Western Europe,Berlin,Fischer (2016),Defeated in World War II,,,,,Berlin,,,,,,,,,,,FALSE
Haiti,1934,,1934,,,,2016,2016,82-82 years,82,Nation state,unknown,Caribbean,Port-au-Prince,Correlates of War (2020),,,,,,Port-au-Prince,18.533333,N.America,-72.333333,,,,,,,,TRUE
Egypt,1937,,1937,,,,2016,2016,79-79 years,79,Nation state,unknown,Western Asia,,Correlates of War (2020),,,,,,Cairo,30.05,Africa,31.25,,,,,,,,TRUE
Ethiopia,1941,,1941,,,,2016,2016,75-75 years,75,Nation state,unknown,Eastern Africa,,Correlates of War (2020),,,,,,Addis Ababa,9.033333333,Africa,38.7,,,,,,,,TRUE
Albania,1944,,1944,,,,2016,2016,72-72 years,72,Nation state,unknown,Southern Europe,,Correlates of War (2020),,,,,,Tirana,41.31666667,Europe,19.816667,,,,,,,,TRUE
France,1944,,1944,,,,2016,2016,72-72 years,72,Nation state,unknown,Western Europe,,Correlates of War (2020),,,,,,Paris,48.86666667,Europe,2.333333,,,,,,,,TRUE
Greece,1944,,1944,,,,2016,2016,72-72 years,72,Nation state,unknown,Southern Europe,,Correlates of War (2020),,,,,,Athens,37.98333333,Europe,23.733333,,,,,,,,TRUE
Iceland,1944,,1944,,,,2016,2016,72-72 years,72,Nation state,unknown,Northern Europe,,Correlates of War (2020),,,,,,Reykjavik,64.15,Europe,-21.95,,,,,,,,TRUE
Luxembourg,1944,,1944,,,,2016,2016,72-72 years,72,Nation state,unknown,Western Europe,,Correlates of War (2020),,,,,,Luxembourg,49.6,Europe,6.116667,,,,,,,,TRUE
Yugoslavia,1944,,1944,,,,2016,2016,72-72 years,72,Nation state,unknown,Southern Europe,,Correlates of War (2020),,,,,,Belgrade,44.816667,Europe,20.466667,,,,,,,,TRUE
Czechoslovakia,1945,,1945,,,,1992,1992,47-47 years,47,Nation state,unknown,Eastern Europe,,Correlates of War (2020),,,,,,Prague,50.08333333,Europe,14.466667,,,,,,,,FALSE
Belgium,1945,,1945,,,,2016,2016,71-71 years,71,Nation state,unknown,Western Europe,,Correlates of War (2020),,,,,,Brussels,50.83333333,Europe,4.333333,,,,,,,,TRUE
Denmark,1945,,1945,,,,2016,2016,71-71 years,71,Nation state,unknown,Northern Europe,,Correlates of War (2020),,,,,,Copenhagen,55.66666667,Europe,12.583333,,,,,,,,TRUE
Netherlands,1945,,1945,,,,2016,2016,71-71 years,71,Nation state,unknown,Western Europe,,Correlates of War (2020),,,,,,Amsterdam,52.35,Europe,4.916667,,,,,,,,TRUE
Norway,1945,,1945,,,,2016,2016,71-71 years,71,Nation state,unknown,Northern Europe,,Correlates of War (2020),,,,,,Oslo,59.91666667,Europe,10.75,,,,,,,,TRUE
Poland,1945,,1945,,,,2016,2016,71-71 years,71,Nation state,unknown,Eastern Europe,,Correlates of War (2020),,,,,,Warsaw,52.233333,Europe,21.016667,,,,,,,,TRUE
Syria,1946,,1946,,,,1958,1958,12-12 years,12,Nation state,unknown,Western Asia,,Correlates of War (2020),,,,,,Damascus,33.5,Asia,36.3,,,,,,,,FALSE
Jordan,1946,,1946,,,,2016,2016,70-70 years,70,Nation state,unknown,Western Asia,,Correlates of War (2020),,,,,,Amman,31.95,Asia,35.933333,,,,,,,,TRUE
Lebanon,1946,,1946,,,,2016,2016,70-70 years,70,Nation state,unknown,Western Asia,,Correlates of War (2020),,,,,,Beirut,33.86666667,Asia,35.5,,,,,,,,TRUE
Philippines,1946,,1946,,,,2016,2016,70-70 years,70,Nation state,unknown,South-Eastern Asia,,Correlates of War (2020),,,,,,Manila,14.6,Asia,120.966667,,,,,,,,TRUE
India,1947,,1947,,,,2016,2016,69-69 years,69,Nation state,unknown,Southern Asia,,Correlates of War (2020),,,,,,New Delhi,28.6,Asia,77.2,,,,,,,,TRUE
Pakistan,1947,,1947,,,,2016,2016,69-69 years,69,Nation state,unknown,Southern Asia,,Correlates of War (2020),,,,,,Islamabad,33.68333333,Asia,73.05,,,,,,,,TRUE
Israel,1948,,1948,,,,2016,2016,68-68 years,68,Nation state,unknown,Western Asia,,Correlates of War (2020),,,,,,Jerusalem,31.76666667,Asia,35.233333,,,,,,,,TRUE
Myanmar,1948,,1948,,,,2016,2016,68-68 years,68,Nation state,unknown,South-Eastern Asia,,Correlates of War (2020),,,,,,Rangoon,16.8,Asia,96.15,,,,,,,,TRUE
North Korea,1948,,1948,,,,2016,2016,68-68 years,68,Nation state,unknown,Eastern Asia,,Correlates of War (2020),,,,,,Pyongyang,39.01666667,Asia,125.75,,,,,,,,TRUE
Sri Lanka,1948,,1948,,,,2016,2016,68-68 years,68,Nation state,unknown,Southern Asia,,Correlates of War (2020),,,,,,Colombo,6.916666667,Asia,79.833333,,,,,,,,TRUE
German Federal Republic,1949,1955,1952,,,,1990,1990,35-41 years,38,Nation state,unknown,Western Europe,,Correlates of War (2020),,,,,,Bonn,50.733333,Europe,7.1,,,,,,,,FALSE
Indonesia,1949,,1949,,,,2016,2016,67-67 years,67,Nation state,unknown,South-Eastern Asia,,Correlates of War (2020),,,,,,Jakarta,-6.166666667,Asia,106.816667,,,,,,,,TRUE
South Korea,1949,,1949,,,,2016,2016,67-67 years,67,Nation state,unknown,Eastern Asia,,Correlates of War (2020),,,,,,Seoul,37.566667,Asia,126.966667,,,,,,,,TRUE
Taiwan,1949,,1949,,,,2016,2016,67-67 years,67,Nation state,unknown,South-Eastern Asia,,Correlates of War (2020),,,,,,Taipei,25.03333333,Asia,121.516667,,,,,,,,TRUE
Libya,1951,,1951,,,,2016,2016,65-65 years,65,Nation state,unknown,Northern Africa,,Correlates of War (2020),,,,,,Tripoli,32.88333333,Africa,13.166667,,,,,,,,TRUE
Japan,1952,,1952,,,,2016,2016,64-64 years,64,Nation state,unknown,Eastern Asia,,Correlates of War (2020),,,,,,Tokyo,35.68333333,Asia,139.75,,,,,,,,TRUE
Cambodia,1953,,1953,,,,2016,2016,63-63 years,63,Nation state,unknown,South-Eastern Asia,,Correlates of War (2020),,,,,,Phnom Penh,11.55,Asia,104.916667,,,,,,,,TRUE
Laos,1953,,1953,,,,2016,2016,63-63 years,63,Nation state,unknown,South-Eastern Asia,,Correlates of War (2020),,,,,,Vientiane,17.96666667,Asia,102.6,,,,,,,,TRUE
Republic of Vietnam,1954,,1954,,,,1975,1975,21-21 years,21,Nation state,unknown,South-Eastern Asia,,Correlates of War (2020),,,,,,Saigon/Ho Chi Minh City,10.8,Asia,106.65,,,,,,,,FALSE
German Democratic Republic,1954,,1954,,,,1990,1990,36-36 years,36,Nation state,unknown,Western Europe,,Correlates of War (2020),,,,,,Berlin,52.51666667,Europe,13.4,,,,,,,,FALSE
Vietnam,1954,,1954,,,,2016,2016,62-62 years,62,Nation state,unknown,South-Eastern Asia,,Correlates of War (2020),,,,,,Hanoi,21.028333,Asia,105.854167,,,,,,,,TRUE
Austria,1955,,1955,,,,2016,2016,61-61 years,61,Nation state,unknown,Western Europe,,Correlates of War (2020),,,,,,Vienna,48.2,Europe,16.366667,,,,,,,,TRUE
Morocco,1956,,1956,,,,2016,2016,60-60 years,60,Nation state,unknown,Northern Africa,,Correlates of War (2020),,,,,,Rabat,34.01666667,Africa,-6.816667,,,,,,,,TRUE
Sudan,1956,,1956,,,,2016,2016,60-60 years,60,Nation state,unknown,Northern Africa,,Correlates of War (2020),,,,,,Khartoum,15.6,Africa,32.533333,,,,,,,,TRUE
Tunisia,1956,,1956,,,,2016,2016,60-60 years,60,Nation state,unknown,Northern Africa,,Correlates of War (2020),,,,,,Tunis,36.8,Africa,10.183333,,,,,,,,TRUE
Ghana,1957,,1957,,,,2016,2016,59-59 years,59,Nation state,unknown,Western Africa,,Correlates of War (2020),,,,,,Accra,5.55,Africa,-0.216667,,,,,,,,TRUE
Malaysia,1957,,1957,,,,2016,2016,59-59 years,59,Nation state,unknown,South-Eastern Asia,,Correlates of War (2020),,,,,,Kuala Lumpur,3.166666667,Asia,101.7,,,,,,,,TRUE
Guinea,1958,,1958,,,,2016,2016,58-58 years,58,Nation state,unknown,Western Africa,,Correlates of War (2020),,,,,,Conakry,9.5,Africa,-13.7,,,,,,,,TRUE
Benin,1960,,1960,,,,2016,2016,56-56 years,56,Nation state,unknown,Western Africa,,Correlates of War (2020),,,,,,Porto-Novo,6.483333333,Africa,2.616667,,,,,,,,TRUE
Burkina Faso,1960,,1960,,,,2016,2016,56-56 years,56,Nation state,unknown,Western Africa,,Correlates of War (2020),,,,,,Ouagadougou,12.36666667,Africa,-1.516667,,,,,,,,TRUE
Cameroon,1960,,1960,,,,2016,2016,56-56 years,56,Nation state,unknown,Middle Africa,,Correlates of War (2020),,,,,,Yaounde,3.866666667,Africa,11.516667,,,,,,,,TRUE
Central African Republic,1960,,1960,,,,2016,2016,56-56 years,56,Nation state,unknown,Middle Africa,,Correlates of War (2020),,,,,,Bangui,4.366666667,Africa,18.583333,,,,,,,,TRUE
Chad,1960,,1960,,,,2016,2016,56-56 years,56,Nation state,unknown,Middle Africa,,Correlates of War (2020),,,,,,N'Djamena,12.1,Africa,15.033333,,,,,,,,TRUE
Congo,1960,,1960,,,,2016,2016,56-56 years,56,Nation state,unknown,Middle Africa,,Correlates of War (2020),,,,,,Brazzaville,-4.25,Africa,15.283333,,,,,,,,TRUE
Cyprus,1960,,1960,,,,2016,2016,56-56 years,56,Nation state,unknown,Western Asia,,Correlates of War (2020),,,,,,Nicosia,35.16666667,Asia,33.366667,,,,,,,,TRUE
Democratic Republic of the Congo,1960,,1960,,,,2016,2016,56-56 years,56,Nation state,unknown,Middle Africa,,Correlates of War (2020),,,,,,Kinshasa,-4.316666667,Africa,15.3,,,,,,,,TRUE
Gabon,1960,,1960,,,,2016,2016,56-56 years,56,Nation state,unknown,Middle Africa,,Correlates of War (2020),,,,,,Libreville,0.383333333,Africa,9.45,,,,,,,,TRUE
Ivory Coast / Republic of Côte d'Ivoire,1960,,1960,,,,2016,2016,56-56 years,56,Nation state,unknown,Western Africa,,Correlates of War (2020),,,,,,Yamoussoukro,6.816667,Africa,-5.283333,Abidjan,5.316667,-4.033333,,,,,TRUE
Madagascar,1960,,1960,,,,2016,2016,56-56 years,56,Nation state,unknown,Eastern Africa,,Correlates of War (2020),,,,,,Antananarivo,-18.91666667,Africa,47.516667,,,,,,,,TRUE
Mali,1960,,1960,,,,2016,2016,56-56 years,56,Nation state,unknown,Western Africa,,Correlates of War (2020),,,,,,Bamako,12.65,Africa,-8,,,,,,,,TRUE
Mauritania,1960,,1960,,,,2016,2016,56-56 years,56,Nation state,unknown,Western Africa,,Correlates of War (2020),,,,,,Nouakchott,18.06666667,Africa,-15.966667,,,,,,,,TRUE
Niger,1960,,1960,,,,2016,2016,56-56 years,56,Nation state,unknown,Western Africa,,Correlates of War (2020),,,,,,Niamey,13.51666667,Africa,2.116667,,,,,,,,TRUE
Nigeria,1960,,1960,,,,2016,2016,56-56 years,56,Nation state,unknown,Western Africa,,Correlates of War (2020),,,,,,Abuja,9.083333333,Africa,7.533333,,,,,,,,TRUE
Senegal,1960,,1960,,,,2016,2016,56-56 years,56,Nation state,unknown,Western Africa,,Correlates of War (2020),,,,,,Dakar,14.73333333,Africa,-17.633333,,,,,,,,TRUE
Somalia,1960,,1960,,,,2016,2016,56-56 years,56,Nation state,unknown,Eastern Africa,,Correlates of War (2020),,,,,,Mogadishu,2.066666667,Africa,45.333333,,,,,,,,TRUE
Togo,1960,,1960,,,,2016,2016,56-56 years,56,Nation state,unknown,Western Africa,,Correlates of War (2020),,,,,,Lome,6.116666667,Africa,1.216667,,,,,,,,TRUE
Kuwait,1961,,1961,,,,2016,2016,55-55 years,55,Nation state,unknown,Western Asia,,Correlates of War (2020),,,,,,Kuwait City,29.36666667,Asia,47.966667,,,,,,,,TRUE
Sierra Leone,1961,,1961,,,,2016,2016,55-55 years,55,Nation state,unknown,Western Africa,,Correlates of War (2020),,,,,,Freetown,8.483333333,Africa,-13.233333,,,,,,,,TRUE
Syria,1961,,1961,,,,2016,2016,55-55 years,55,Nation state,unknown,Western Asia,,Correlates of War (2020),,,,,,Damascus,33.5,Asia,36.3,,,,,,,,TRUE
Tanzania,1961,,1961,,,,2016,2016,55-55 years,55,Nation state,unknown,Eastern Africa,,Correlates of War (2020),,,,,,Dar es Salaam,-6.8,Africa,39.283333,,,,,,,,TRUE
Algeria,1962,,1962,,,,2016,2016,54-54 years,54,Nation state,unknown,Northern Africa,,Correlates of War (2020),,,,,,Algiers,36.75,Africa,3.05,,,,,,,,TRUE
Burundi,1962,,1962,,,,2016,2016,54-54 years,54,Nation state,unknown,Eastern Africa,,Correlates of War (2020),,,,,,Bujumbura,-3.366666667,Africa,29.35,,,,,,,,TRUE
Jamaica,1962,,1962,,,,2016,2016,54-54 years,54,Nation state,unknown,Caribbean,Kingston,Correlates of War (2020),,,,,,Kingston,17.971389,N.America,-76.793056,,,,,,,,TRUE
Rwanda,1962,,1962,,,,2016,2016,54-54 years,54,Nation state,unknown,Eastern Africa,,Correlates of War (2020),,,,,,Kigali,-1.95,Africa,30.05,,,,,,,,TRUE
Trinidad and Tobago,1962,,1962,,,,2016,2016,54-54 years,54,Nation state,unknown,Caribbean,Port of Spain,Correlates of War (2020),,,,,,Port of Spain,10.666667,S.America,-61.516667,,,,,,,,TRUE
Uganda,1962,,1962,,,,2016,2016,54-54 years,54,Nation state,unknown,Eastern Africa,,Correlates of War (2020),,,,,,Kampala,0.316666667,Africa,32.55,,,,,,,,TRUE
Zanzibar,1963,,1963,,,,1964,1964,1-1 years,1,Nation state,unknown,Eastern Africa,,Correlates of War (2020),,,,,,Zanzibar City,-6.165,Africa,39.199,,,,,,,,FALSE
Kenya,1963,,1963,,,,2016,2016,53-53 years,53,Nation state,unknown,Eastern Africa,,Correlates of War (2020),,,,,,Nairobi,-1.283333333,Africa,36.816667,,,,,,,,TRUE
Malawi,1964,,1964,,,,2016,2016,52-52 years,52,Nation state,unknown,Eastern Africa,,Correlates of War (2020),,,,,,Lilongwe,-13.96666667,Africa,33.783333,,,,,,,,TRUE
Malta,1964,,1964,,,,2016,2016,52-52 years,52,Nation state,unknown,Southern Europe,,Correlates of War (2020),,,,,,Valletta,35.88333333,Africa,14.5,,,,,,,,TRUE
Zambia,1964,,1964,,,,2016,2016,52-52 years,52,Nation state,unknown,Eastern Africa,,Correlates of War (2020),,,,,,Lusaka,-15.41666667,Africa,28.283333,,,,,,,,TRUE
Gambia,1965,,1965,,,,2016,2016,51-51 years,51,Nation state,unknown,Western Africa,,Correlates of War (2020),,,,,,Banjul,13.45,Africa,-16.566667,,,,,,,,TRUE
Maldives,1965,,1965,,,,2016,2016,51-51 years,51,Nation state,unknown,Caribbean,,Correlates of War (2020),,,,,,Male,4.166666667,Asia,73.5,,,,,,,,TRUE
Singapore,1965,,1965,,,,2016,2016,51-51 years,51,Nation state,unknown,South-Eastern Asia,,Correlates of War (2020),,,,,,Singapore,1.283333333,Asia,103.85,,,,,,,,TRUE
Zimbabwe,1965,,1965,,,,2016,2016,51-51 years,51,Nation state,unknown,Eastern Africa,,Correlates of War (2020),,,,,,Harare,-17.81666667,Africa,31.033333,,,,,,,,TRUE
Barbados,1966,,1966,,,,2016,2016,50-50 years,50,Nation state,unknown,Caribbean,Bridgetown,Correlates of War (2020),,,,,,Bridgetown,13.0975,S.America,-59.616667,,,,,,,,TRUE
Botswana,1966,,1966,,,,2016,2016,50-50 years,50,Nation state,unknown,Southern Africa,,Correlates of War (2020),,,,,,Gaborone,-24.63333333,Africa,25.9,,,,,,,,TRUE
Guyana,1966,,1966,,,,2016,2016,50-50 years,50,Nation state,unknown,South America,,Correlates of War (2020),,,,,,Georgetown,6.8,S.America,-58.15,,,,,,,,TRUE
Lesotho,1966,,1966,,,,2016,2016,50-50 years,50,Nation state,unknown,Southern Africa,,Correlates of War (2020),,,,,,Maseru,-29.31666667,Africa,27.483333,,,,,,,,TRUE
Yemen People's Republic,1967,,1967,,,,1990,1990,23-23 years,23,Nation state,unknown,Western Asia,,Correlates of War (2020),,,,,,Aden,12.8,Asia,45.033333,,,,,,,,FALSE
Equatorial Guinea,1968,,1968,,,,2016,2016,48-48 years,48,Nation state,unknown,Middle Africa,,Correlates of War (2020),,,,,,Malabo,3.75,Africa,8.783333,,,,,,,,TRUE
Mauritius,1968,,1968,,,,2016,2016,48-48 years,48,Nation state,unknown,Eastern Africa,,Correlates of War (2020),,,,,,Port Louis,-20.15,Africa,57.483333,,,,,,,,TRUE
Swaziland,1968,,1968,,,,2016,2016,48-48 years,48,Nation state,unknown,Southern Africa,,Correlates of War (2020),,,,,,Mbabane,-26.31666667,Africa,31.133333,,,,,,,,TRUE
Fiji,1970,,1970,,,,2016,2016,46-46 years,46,Nation state,unknown,Melanesia,,Correlates of War (2020),,,,,,Suva,-18.13333333,,178.416667,,,,,,,,TRUE
Bahrain,1971,,1971,,,,2016,2016,45-45 years,45,Nation state,unknown,Western Asia,,Correlates of War (2020),,,,,,Manama,26.23333333,Asia,50.566667,,,,,,,,TRUE
Bangladesh,1971,,1971,,,,2016,2016,45-45 years,45,Nation state,unknown,Southern Asia,,Correlates of War (2020),,,,,,Dhaka,23.71666667,Asia,90.4,,,,,,,,TRUE
Bhutan,1971,,1971,,,,2016,2016,45-45 years,45,Nation state,unknown,Southern Asia,,Correlates of War (2020),,,,,,Thimphu,27.46666667,Asia,89.633333,,,,,,,,TRUE
Oman,1971,,1971,,,,2016,2016,45-45 years,45,Nation state,unknown,Western Asia,,Correlates of War (2020),,,,,,Muscat,23.61666667,Asia,58.583333,,,,,,,,TRUE
Qatar,1971,,1971,,,,2016,2016,45-45 years,45,Nation state,unknown,Western Asia,,Correlates of War (2020),,,,,,Doha,25.28333333,Asia,51.533333,,,,,,,,TRUE
United Arab Emirates,1971,,1971,,,,2016,2016,45-45 years,45,Nation state,unknown,Western Asia,,Correlates of War (2020),,,,,,Abu Dhabi,24.46666667,Asia,54.366667,,,,,,,,TRUE
Bahamas,1973,,1973,,,,2016,2016,43-43 years,43,Nation state,unknown,Caribbean,Nassau,Correlates of War (2020),,,,,,Nassau,25.066667,N.America,-77.333333,,,,,,,,TRUE
Grenada,1974,,1974,,,,2016,2016,42-42 years,42,Nation state,unknown,Caribbean,Saint George's,Correlates of War (2020),,,,,,Saint George's,12.05,S.America,-61.75,,,,,,,,TRUE
Guinea-Bissau,1974,,1974,,,,2016,2016,42-42 years,42,Nation state,unknown,Western Africa,,Correlates of War (2020),,,,,,Bissau,11.85,Africa,-15.583333,,,,,,,,TRUE
Angola,1975,,1975,,,,2016,2016,41-41 years,41,Nation state,unknown,Middle Africa,,Correlates of War (2020),,,,,,Luanda,-8.833333333,Africa,13.216667,,,,,,,,TRUE
Cape Verde,1975,,1975,,,,2016,2016,41-41 years,41,Nation state,unknown,Western Africa,,Correlates of War (2020),,,,,,Praia,14.91666667,Africa,-23.516667,,,,,,,,TRUE
Comoros,1975,,1975,,,,2016,2016,41-41 years,41,Nation state,unknown,Eastern Africa,,Correlates of War (2020),,,,,,Moroni,-11.7,Africa,43.233333,,,,,,,,TRUE
Mozambique,1975,,1975,,,,2016,2016,41-41 years,41,Nation state,unknown,Eastern Africa,,Correlates of War (2020),,,,,,Maputo,-25.95,Africa,32.583333,,,,,,,,TRUE
Papua New Guinea,1975,,1975,,,,2016,2016,41-41 years,41,Nation state,unknown,Melanesia,,Correlates of War (2020),,,,,,Port Moresby,-9.45,,147.183333,,,,,,,,TRUE
Sao Tome and Principe,1975,,1975,,,,2016,2016,41-41 years,41,Nation state,unknown,Middle Africa,,Correlates of War (2020),,,,,,Sao Tome,0.333333333,Africa,6.733333,,,,,,,,TRUE
Suriname,1975,,1975,,,,2016,2016,41-41 years,41,Nation state,unknown,South America,,Correlates of War (2020),,,,,,Paramaribo,5.833333333,S.America,-55.166667,,,,,,,,TRUE
Samoa,1976,,1976,,,,2016,2016,40-40 years,40,Nation state,unknown,Polynesia,,Correlates of War (2020),,,,,,Apia,-13.81666667,,-171.766667,,,,,,,,TRUE
Seychelles,1976,,1976,,,,2016,2016,40-40 years,40,Nation state,unknown,Eastern Africa,,Correlates of War (2020),,,,,,Victoria,-4.616666667,Africa,55.45,,,,,,,,TRUE
Djibouti,1977,,1977,,,,2016,2016,39-39 years,39,Nation state,unknown,Eastern Africa,,Correlates of War (2020),,,,,,Djibouti,11.58333333,Africa,43.15,,,,,,,,TRUE
Dominica,1978,,1978,,,,2016,2016,38-38 years,38,Nation state,unknown,Caribbean,Roseau,Correlates of War (2020),,,,,,Roseau,15.301389,N.America,-61.388333,,,,,,,,TRUE
Solomon Islands,1978,,1978,,,,2016,2016,38-38 years,38,Nation state,unknown,Melanesia,,Correlates of War (2020),,,,,,Honiara,-9.433333333,,159.95,,,,,,,,TRUE
St. Lucia,1979,,1979,,,,2016,2016,37-37 years,37,Nation state,unknown,Caribbean,Castries,Correlates of War (2020),,,,,,Castries,14.016667,S.America,-60.983333,,,,,,,,TRUE
St. Vincent and the Grenadines,1979,,1979,,,,2016,2016,37-37 years,37,Nation state,unknown,Caribbean,Kingstown,Correlates of War (2020),,,,,,Kingstown,13.157778,S.America,-61.225,,,,,,,,TRUE
Antigua & Barbuda,1981,,1981,,,,2016,2016,35-35 years,35,Nation state,unknown,Caribbean,Saint John's,Correlates of War (2020),,,,,,Saint John's,17.116667,N.America,-61.85,,,,,,,,TRUE
Belize,1981,,1981,,,,2016,2016,35-35 years,35,Nation state,unknown,Central America,"Belize City, Belmopan",Correlates of War (2020),,,,,,Belize City,17.498611,N.America,-88.188611,Belmopan,17.251389,-88.766944,,,,,TRUE
Vanuatu,1981,,1981,,,,2016,2016,35-35 years,35,Nation state,unknown,Melanesia,,Correlates of War (2020),,,,,,Port-Vila,-17.73333333,,168.316667,,,,,,,,TRUE
St. Kitts and Nevis,1983,,1983,,,,2016,2016,33-33 years,33,Nation state,unknown,Caribbean,Basseterre,Correlates of War (2020),,,,,,Basseterre,17.3,N.America,-62.733333,,,,,,,,TRUE
Brunei,1984,,1984,,,,2016,2016,32-32 years,32,Nation state,unknown,South-Eastern Asia,,Correlates of War (2020),,,,,,Bandar Seri Begawan,4.883333333,Asia,114.933333,,,,,,,,TRUE
Germany,1990,,1990,,,,2016,2016,26-26 years,26,Nation state,unknown,Western Europe,,Correlates of War (2020),,,,,,Berlin,52.51666667,Europe,13.4,,,,,,,,TRUE
Liechtenstein,1990,,1990,,,,2016,2016,26-26 years,26,Nation state,unknown,Western Europe,,Correlates of War (2020),,,,,,Vaduz,47.13333333,Europe,9.516667,,,,,,,,TRUE
Namibia,1990,,1990,,,,2016,2016,26-26 years,26,Nation state,unknown,Southern Africa,,Correlates of War (2020),,,,,,Windhoek,-22.56666667,Africa,17.083333,,,,,,,,TRUE
Yemen,1990,,1990,,,,2016,2016,26-26 years,26,Nation state,unknown,Western Asia,,Correlates of War (2020),,,,,,Sanaa,15.348333,Asia,44.206389,,,,,,,,TRUE
Russia,1991,,1991,,,,2016,2016,25-25 years,25,Nation state,unknown,Eastern Europe,,Correlates of War (2020),,,,Modified state formation date to 1991 to account for the Muskovy-USSR-Russia Polity.,,Moscow,55.75,Europe,37.6,,,,,,,,TRUE
Armenia,1991,,1991,,,,2016,2016,25-25 years,25,Nation state,unknown,Western Asia,,Correlates of War (2020),,,,,,Yerevan,40.16666667,Asia,44.5,,,,,,,,TRUE
Azerbaijan,1991,,1991,,,,2016,2016,25-25 years,25,Nation state,unknown,Western Asia,,Correlates of War (2020),,,,,,Baku,40.38333333,Asia,49.866667,,,,,,,,TRUE
Belarus,1991,,1991,,,,2016,2016,25-25 years,25,Nation state,unknown,Eastern Europe,,Correlates of War (2020),,,,,,Minsk,53.9,Europe,27.566667,,,,,,,,TRUE
Estonia,1991,,1991,,,,2016,2016,25-25 years,25,Nation state,unknown,Northern Europe,,Correlates of War (2020),,,,,,Tallinn,59.43333333,Europe,24.716667,,,,,,,,TRUE
